iter	Passed	Remaining
803	2040	497
804	2042	494
805	2044	492
806	2047	489
807	2050	487
808	2052	484
809	2054	481
810	2056	479
811	2058	476
812	2062	474
813	2064	471
814	2066	469
815	2069	466
816	2071	463
817	2073	461
818	2076	458
819	2079	456
820	2081	453
821	2084	451
822	2086	448
823	2088	446
824	2091	443
825	2094	441
826	2096	438
827	2098	435
828	2100	433
829	2103	430
830	2105	428
831	2107	425
832	2110	423
833	2113	420
834	2115	418
835	2117	415
836	2120	412
837	2122	410
838	2124	407
839	2127	405
840	2130	402
841	2132	400
842	2135	397
843	2137	395
844	2139	392
845	2142	390
846	2145	387
847	2147	384
848	2149	382
849	2151	379
850	2153	377
851	2155	374
852	2158	372
853	2161	369
854	2163	366
855	2165	364
856	2167	361
857	2169	359
858	2172	356
859	2175	354
860	2177	351
861	2179	348
862	2181	346
863	2183	343
864	2185	341
865	2187	338
866	2189	335
867	2191	333
868	2193	330
869	2195	328
870	2197	325
871	2199	322
872	2201	320
873	2203	317
874	2205	315
875	2207	312
876	2209	309
877	2211	307
878	2213	304
879	2215	302
880	2217	299
881	2218	296
882	2221	294
883	2223	291
884	2225	289
885	2227	286
886	2229	284
887	2231	281
888	2233	278
889	2235	276
890	2238	273
891	2241	271
892	2243	268
893	2245	266
894	2247	263
895	2249	261
896	2251	258
897	2254	256
898	2256	253
899	2258	250
900	2261	248
901	2263	245
902	2265	243
903	2268	240
904	2271	238
905	2274	235
906	2276	233
907	2278	230
908	2280	228
909	2283	225
910	2286	223
911	2288	220
912	2290	218
913	2293	215
914	2295	213
915	2297	210
916	2299	208
917	2312	206
918	2314	203
919	2316	201
920	2319	198
921	2320	196
922	2322	193
923	2324	191
924	2326	188
925	2328	186
926	2330	183
927	2332	180
928	2334	178
929	2336	175
930	2338	173
931	2341	170
932	2343	168
933	2345	165
934	2347	163
935	2349	160
936	2352	158
937	2354	155
938	2356	153
939	2358	150
940	2360	148
941	2363	145
942	2365	143
943	2368	140
944	2370	137
945	2372	135
946	2375	132
947	2377	130
948	2379	127
949	2382	125
950	2384	122
951	2387	120
952	2389	117
953	2391	115
954	2394	112
955	2396	110
956	2399	107
957	2401	105
958	2403	102
959	2405	100
960	2408	97
961	2410	95
962	2413	92
963	2415	90
964	2418	87
965	2420	85
966	2423	82
967	2425	80
968	2427	77
969	2430	75
970	2433	72
971	2435	70
972	2437	67
973	2439	65
974	2442	62
975	2444	60
976	2447	57
977	2450	55
978	2452	52
979	2454	50
980	2457	47
981	2459	45
982	2462	42
983	2465	40
984	2467	37
985	2469	35
986	2472	32
987	2474	30
988	2476	27
989	2480	25
990	2482	22
991	2484	20
992	2486	17
993	2489	15
994	2491	12
995	2494	10
996	2496	7
997	2498	5
998	2501	2
999	2503	0
